DATE,TIME,TEMP_F,HUMIDITY
Sep-28-2025,06:00 AM,71.60 °F,40.00 %
Sep-28-2025,06:01 AM,71.60 °F,40.00 %
Sep-28-2025,06:02 AM,71.60 °F,40.00 %
Sep-28-2025,06:03 AM,69.80 °F,41.00 %
Sep-28-2025,06:04 AM,69.80 °F,42.00 %
Sep-28-2025,06:05 AM,69.80 °F,43.00 %
Sep-28-2025,06:06 AM,69.80 °F,43.00 %
Sep-28-2025,06:07 AM,69.80 °F,43.00 %
Sep-28-2025,06:08 AM,69.80 °F,43.00 %
Sep-28-2025,06:09 AM,69.80 °F,44.00 %
Sep-28-2025,06:10 AM,69.80 °F,44.00 %
Sep-28-2025,06:11 AM,69.80 °F,44.00 %
Sep-28-2025,06:12 AM,69.80 °F,44.00 %
Sep-28-2025,06:13 AM,69.80 °F,44.00 %
Sep-28-2025,06:14 AM,69.80 °F,44.00 %
Sep-28-2025,06:15 AM,69.80 °F,44.00 %
Sep-28-2025,06:16 AM,69.80 °F,44.00 %
Sep-28-2025,06:17 AM,69.80 °F,44.00 %
Sep-28-2025,06:18 AM,69.80 °F,44.00 %
Sep-28-2025,06:19 AM,69.80 °F,44.00 %
Sep-28-2025,06:20 AM,69.80 °F,44.00 %
Sep-28-2025,06:21 AM,69.80 °F,44.00 %
Sep-28-2025,06:22 AM,69.80 °F,44.00 %
Sep-28-2025,06:23 AM,69.80 °F,44.00 %
Sep-28-2025,06:24 AM,69.80 °F,44.00 %
Sep-28-2025,06:25 AM,69.80 °F,44.00 %
Sep-28-2025,06:26 AM,69.80 °F,44.00 %
Sep-28-2025,06:27 AM,69.80 °F,44.00 %
Sep-28-2025,06:28 AM,69.80 °F,44.00 %
Sep-28-2025,06:29 AM,69.80 °F,44.00 %
Sep-28-2025,06:30 AM,69.80 °F,44.00 %
Sep-28-2025,06:31 AM,69.80 °F,44.00 %
Sep-28-2025,06:32 AM,69.80 °F,44.00 %
Sep-28-2025,06:33 AM,69.80 °F,44.00 %
Sep-28-2025,06:34 AM,69.80 °F,44.00 %
Sep-28-2025,06:35 AM,69.80 °F,44.00 %
Sep-28-2025,06:36 AM,69.80 °F,44.00 %
Sep-28-2025,06:37 AM,69.80 °F,44.00 %
Sep-28-2025,06:38 AM,69.80 °F,44.00 %
Sep-28-2025,06:39 AM,69.80 °F,44.00 %
Sep-28-2025,06:40 AM,69.80 °F,44.00 %
Sep-28-2025,06:41 AM,69.80 °F,44.00 %
Sep-28-2025,06:42 AM,69.80 °F,44.00 %
Sep-28-2025,06:43 AM,69.80 °F,44.00 %
Sep-28-2025,06:44 AM,69.80 °F,44.00 %
Sep-28-2025,06:45 AM,69.80 °F,44.00 %
Sep-28-2025,06:46 AM,69.80 °F,44.00 %
Sep-28-2025,06:47 AM,69.80 °F,44.00 %
Sep-28-2025,06:48 AM,69.80 °F,44.00 %
Sep-28-2025,06:49 AM,69.80 °F,44.00 %
Sep-28-2025,06:50 AM,69.80 °F,44.00 %
Sep-28-2025,06:51 AM,69.80 °F,44.00 %
Sep-28-2025,06:52 AM,69.80 °F,44.00 %
Sep-28-2025,06:53 AM,69.80 °F,44.00 %
Sep-28-2025,06:54 AM,69.80 °F,44.00 %
Sep-28-2025,06:55 AM,69.80 °F,44.00 %
Sep-28-2025,06:56 AM,69.80 °F,44.00 %
Sep-28-2025,06:57 AM,69.80 °F,44.00 %
Sep-28-2025,06:58 AM,69.80 °F,44.00 %
Sep-28-2025,06:59 AM,69.80 °F,44.00 %
Sep-28-2025,07:00 AM,69.80 °F,44.00 %
Sep-28-2025,07:01 AM,69.80 °F,44.00 %
Sep-28-2025,07:02 AM,69.80 °F,44.00 %
Sep-28-2025,07:03 AM,69.80 °F,44.00 %
Sep-28-2025,07:04 AM,69.80 °F,44.00 %
Sep-28-2025,07:05 AM,69.80 °F,44.00 %
Sep-28-2025,07:06 AM,69.80 °F,44.00 %
Sep-28-2025,07:07 AM,69.80 °F,44.00 %
Sep-28-2025,07:08 AM,69.80 °F,44.00 %
Sep-28-2025,07:09 AM,69.80 °F,44.00 %
Sep-28-2025,07:10 AM,69.80 °F,44.00 %
Sep-28-2025,07:11 AM,69.80 °F,44.00 %
Sep-28-2025,07:12 AM,69.80 °F,44.00 %
Sep-28-2025,07:13 AM,69.80 °F,44.00 %
Sep-28-2025,07:14 AM,69.80 °F,44.00 %
Sep-28-2025,07:15 AM,69.80 °F,44.00 %
Sep-28-2025,07:16 AM,69.80 °F,44.00 %
Sep-28-2025,07:17 AM,69.80 °F,44.00 %
Sep-28-2025,07:18 AM,69.80 °F,44.00 %
Sep-28-2025,07:19 AM,69.80 °F,44.00 %
Sep-28-2025,07:20 AM,69.80 °F,44.00 %
Sep-28-2025,07:21 AM,69.80 °F,44.00 %
Sep-28-2025,07:22 AM,69.80 °F,44.00 %
Sep-28-2025,07:23 AM,69.80 °F,44.00 %
Sep-28-2025,07:24 AM,69.80 °F,44.00 %
Sep-28-2025,07:25 AM,69.80 °F,44.00 %
Sep-28-2025,07:26 AM,69.80 °F,44.00 %
Sep-28-2025,07:27 AM,69.80 °F,45.00 %
Sep-28-2025,07:28 AM,69.80 °F,45.00 %
Sep-28-2025,07:29 AM,69.80 °F,45.00 %
Sep-28-2025,07:30 AM,69.80 °F,45.00 %
Sep-28-2025,07:31 AM,69.80 °F,45.00 %
Sep-28-2025,07:32 AM,69.80 °F,45.00 %
Sep-28-2025,07:33 AM,69.80 °F,45.00 %
Sep-28-2025,07:34 AM,69.80 °F,45.00 %
Sep-28-2025,07:35 AM,69.80 °F,45.00 %
Sep-28-2025,07:36 AM,69.80 °F,45.00 %
Sep-28-2025,07:37 AM,69.80 °F,45.00 %
Sep-28-2025,07:38 AM,69.80 °F,45.00 %
Sep-28-2025,07:39 AM,69.80 °F,45.00 %
Sep-28-2025,07:40 AM,69.80 °F,45.00 %
Sep-28-2025,07:41 AM,69.80 °F,45.00 %
Sep-28-2025,07:42 AM,69.80 °F,45.00 %
Sep-28-2025,07:43 AM,69.80 °F,45.00 %
Sep-28-2025,07:44 AM,69.80 °F,45.00 %
Sep-28-2025,07:45 AM,69.80 °F,45.00 %
Sep-28-2025,07:46 AM,69.80 °F,45.00 %
Sep-28-2025,07:47 AM,69.80 °F,45.00 %
Sep-28-2025,07:48 AM,69.80 °F,45.00 %
Sep-28-2025,07:49 AM,69.80 °F,45.00 %
Sep-28-2025,07:50 AM,69.80 °F,45.00 %
Sep-28-2025,07:51 AM,69.80 °F,45.00 %
Sep-28-2025,07:52 AM,69.80 °F,45.00 %
Sep-28-2025,07:53 AM,69.80 °F,45.00 %
Sep-28-2025,07:54 AM,69.80 °F,45.00 %
Sep-28-2025,07:55 AM,69.80 °F,45.00 %
Sep-28-2025,07:56 AM,69.80 °F,45.00 %
Sep-28-2025,07:57 AM,69.80 °F,45.00 %
Sep-28-2025,07:58 AM,69.80 °F,45.00 %
Sep-28-2025,07:59 AM,69.80 °F,45.00 %
Sep-28-2025,08:00 AM,69.80 °F,45.00 %
Sep-28-2025,08:01 AM,69.80 °F,45.00 %
Sep-28-2025,08:02 AM,69.80 °F,45.00 %
Sep-28-2025,08:03 AM,69.80 °F,45.00 %
Sep-28-2025,08:04 AM,69.80 °F,45.00 %
Sep-28-2025,08:05 AM,69.80 °F,45.00 %
Sep-28-2025,08:06 AM,69.80 °F,45.00 %
Sep-28-2025,08:07 AM,69.80 °F,45.00 %
Sep-28-2025,08:08 AM,69.80 °F,45.00 %
Sep-28-2025,08:09 AM,69.80 °F,45.00 %
Sep-28-2025,08:10 AM,69.80 °F,45.00 %
Sep-28-2025,08:11 AM,69.80 °F,45.00 %
Sep-28-2025,08:12 AM,69.80 °F,45.00 %
Sep-28-2025,08:13 AM,69.80 °F,45.00 %
Sep-28-2025,08:14 AM,69.80 °F,45.00 %
Sep-28-2025,08:15 AM,69.80 °F,45.00 %
Sep-28-2025,08:16 AM,69.80 °F,45.00 %
Sep-28-2025,08:17 AM,69.80 °F,45.00 %
Sep-28-2025,08:18 AM,69.80 °F,45.00 %
Sep-28-2025,08:19 AM,69.80 °F,45.00 %
Sep-28-2025,08:20 AM,69.80 °F,45.00 %
Sep-28-2025,08:21 AM,69.80 °F,45.00 %
Sep-28-2025,08:22 AM,69.80 °F,45.00 %
Sep-28-2025,08:23 AM,69.80 °F,45.00 %
Sep-28-2025,08:24 AM,69.80 °F,45.00 %
Sep-28-2025,08:25 AM,69.80 °F,45.00 %
Sep-28-2025,08:26 AM,69.80 °F,45.00 %
Sep-28-2025,08:27 AM,69.80 °F,45.00 %
Sep-28-2025,08:28 AM,69.80 °F,45.00 %
Sep-28-2025,08:29 AM,69.80 °F,45.00 %
Sep-28-2025,08:30 AM,69.80 °F,45.00 %
Sep-28-2025,08:31 AM,69.80 °F,45.00 %
Sep-28-2025,08:32 AM,69.80 °F,45.00 %
Sep-28-2025,08:33 AM,69.80 °F,45.00 %
Sep-28-2025,08:34 AM,69.80 °F,45.00 %
Sep-28-2025,08:35 AM,69.80 °F,45.00 %
Sep-28-2025,08:36 AM,69.80 °F,46.00 %
Sep-28-2025,08:37 AM,69.80 °F,46.00 %
Sep-28-2025,08:38 AM,69.80 °F,46.00 %
Sep-28-2025,08:39 AM,69.80 °F,46.00 %
Sep-28-2025,08:40 AM,69.80 °F,46.00 %
Sep-28-2025,08:41 AM,69.80 °F,46.00 %
Sep-28-2025,08:42 AM,69.80 °F,46.00 %
Sep-28-2025,08:43 AM,69.80 °F,46.00 %
Sep-28-2025,08:44 AM,69.80 °F,46.00 %
Sep-28-2025,08:45 AM,69.80 °F,46.00 %
Sep-28-2025,08:46 AM,69.80 °F,46.00 %
Sep-28-2025,08:47 AM,69.80 °F,46.00 %
Sep-28-2025,08:48 AM,69.80 °F,46.00 %
Sep-28-2025,08:49 AM,69.80 °F,46.00 %
Sep-28-2025,08:50 AM,69.80 °F,46.00 %
Sep-28-2025,08:51 AM,69.80 °F,46.00 %
Sep-28-2025,08:52 AM,69.80 °F,46.00 %
Sep-28-2025,08:53 AM,69.80 °F,46.00 %
Sep-28-2025,08:54 AM,69.80 °F,45.00 %
Sep-28-2025,08:55 AM,69.80 °F,45.00 %
Sep-28-2025,08:56 AM,69.80 °F,45.00 %
Sep-28-2025,08:57 AM,69.80 °F,45.00 %
Sep-28-2025,08:58 AM,69.80 °F,45.00 %
Sep-28-2025,08:59 AM,69.80 °F,45.00 %
Sep-28-2025,09:00 AM,69.80 °F,45.00 %
Sep-28-2025,09:01 AM,69.80 °F,45.00 %
Sep-28-2025,09:02 AM,69.80 °F,45.00 %
Sep-28-2025,09:03 AM,69.80 °F,45.00 %
Sep-28-2025,09:04 AM,69.80 °F,45.00 %
Sep-28-2025,09:05 AM,69.80 °F,45.00 %
Sep-28-2025,09:06 AM,69.80 °F,45.00 %
Sep-28-2025,09:07 AM,69.80 °F,45.00 %
Sep-28-2025,09:08 AM,69.80 °F,45.00 %
Sep-28-2025,09:09 AM,69.80 °F,45.00 %
Sep-28-2025,09:10 AM,69.80 °F,45.00 %
Sep-28-2025,09:11 AM,69.80 °F,45.00 %
Sep-28-2025,09:12 AM,69.80 °F,45.00 %
Sep-28-2025,09:13 AM,69.80 °F,45.00 %
Sep-28-2025,09:14 AM,69.80 °F,45.00 %
Sep-28-2025,09:15 AM,69.80 °F,45.00 %
Sep-28-2025,09:16 AM,69.80 °F,45.00 %
Sep-28-2025,09:17 AM,69.80 °F,45.00 %
Sep-28-2025,09:18 AM,69.80 °F,45.00 %
Sep-28-2025,09:19 AM,69.80 °F,45.00 %
Sep-28-2025,09:20 AM,69.80 °F,45.00 %
Sep-28-2025,09:21 AM,69.80 °F,45.00 %
Sep-28-2025,09:22 AM,69.80 °F,45.00 %
Sep-28-2025,09:23 AM,69.80 °F,45.00 %
Sep-28-2025,09:24 AM,69.80 °F,45.00 %
Sep-28-2025,09:25 AM,69.80 °F,45.00 %
Sep-28-2025,09:26 AM,69.80 °F,45.00 %
Sep-28-2025,09:27 AM,69.80 °F,45.00 %
Sep-28-2025,09:28 AM,69.80 °F,45.00 %
Sep-28-2025,09:29 AM,69.80 °F,45.00 %
Sep-28-2025,09:30 AM,69.80 °F,45.00 %
Sep-28-2025,09:31 AM,69.80 °F,45.00 %
Sep-28-2025,09:32 AM,69.80 °F,45.00 %
Sep-28-2025,09:33 AM,69.80 °F,45.00 %
Sep-28-2025,09:34 AM,69.80 °F,45.00 %
Sep-28-2025,09:35 AM,69.80 °F,45.00 %
Sep-28-2025,09:36 AM,69.80 °F,45.00 %
Sep-28-2025,09:37 AM,69.80 °F,45.00 %
Sep-28-2025,09:38 AM,69.80 °F,45.00 %
Sep-28-2025,09:39 AM,69.80 °F,45.00 %
Sep-28-2025,09:40 AM,69.80 °F,45.00 %
Sep-28-2025,09:41 AM,69.80 °F,45.00 %
Sep-28-2025,09:42 AM,69.80 °F,45.00 %
Sep-28-2025,09:43 AM,69.80 °F,45.00 %
Sep-28-2025,09:44 AM,69.80 °F,45.00 %
Sep-28-2025,09:45 AM,69.80 °F,45.00 %
Sep-28-2025,09:46 AM,69.80 °F,45.00 %
Sep-28-2025,09:47 AM,69.80 °F,45.00 %
Sep-28-2025,09:48 AM,69.80 °F,45.00 %
Sep-28-2025,09:49 AM,69.80 °F,45.00 %
Sep-28-2025,09:50 AM,69.80 °F,45.00 %
Sep-28-2025,09:51 AM,69.80 °F,45.00 %
Sep-28-2025,09:52 AM,69.80 °F,45.00 %
Sep-28-2025,09:53 AM,69.80 °F,46.00 %
Sep-28-2025,09:54 AM,69.80 °F,46.00 %
Sep-28-2025,09:55 AM,69.80 °F,46.00 %
Sep-28-2025,09:56 AM,69.80 °F,46.00 %
Sep-28-2025,09:57 AM,69.80 °F,46.00 %
Sep-28-2025,09:58 AM,69.80 °F,46.00 %
Sep-28-2025,09:59 AM,69.80 °F,46.00 %
Sep-28-2025,10:00 AM,69.80 °F,46.00 %
Sep-28-2025,10:01 AM,69.80 °F,45.00 %
Sep-28-2025,10:02 AM,69.80 °F,45.00 %
Sep-28-2025,10:03 AM,69.80 °F,45.00 %
Sep-28-2025,10:04 AM,69.80 °F,45.00 %
Sep-28-2025,10:05 AM,69.80 °F,45.00 %
