LUX,DATE,TIME
1.25,2025-09-13,06:00
1.25,2025-09-13,06:15
6.67,2025-09-13,06:30
38.33,2025-09-13,06:45
116.67,2025-09-13,07:00
190.00,2025-09-13,07:15
215.00,2025-09-13,07:30
183.33,2025-09-13,07:45
370.00,2025-09-13,08:00
513.75,2025-09-13,08:15
490.83,2025-09-13,08:30
505.83,2025-09-13,08:45
516.25,2025-09-13,09:00
565.00,2025-09-13,09:15
586.67,2025-09-13,09:30
666.67,2025-09-13,09:45
1038.33,2025-09-13,10:00
1413.75,2025-09-13,10:15
1051.67,2025-09-13,10:30
743.33,2025-09-13,10:45
1392.92,2025-09-13,11:00
1690.42,2025-09-13,11:15
2065.00,2025-09-13,11:30
1986.25,2025-09-13,11:45
2165.00,2025-09-13,12:00
1957.92,2025-09-13,12:15
2097.92,2025-09-13,12:30
1832.50,2025-09-13,12:45
2214.17,2025-09-13,13:00
1780.83,2025-09-13,13:15
1525.42,2025-09-13,13:30
2540.83,2025-09-13,13:45
2713.75,2025-09-13,14:00
3040.00,2025-09-13,14:15
3155.42,2025-09-13,14:30
3481.67,2025-09-13,14:45
7111.25,2025-09-13,15:00
2426.25,2025-09-13,15:15
2082.50,2025-09-13,15:30
1683.75,2025-09-13,15:45
6589.17,2025-09-13,16:00
5882.08,2025-09-13,16:15
5501.67,2025-09-13,16:30
5297.50,2025-09-13,16:45
1208.33,2025-09-13,17:00
586.67,2025-09-13,17:15
365.83,2025-09-13,17:30
62.50,2025-09-13,17:45
43.75,2025-09-13,18:00
54.17,2025-09-13,18:15
49.17,2025-09-13,18:30
137.50,2025-09-13,18:45
32.08,2025-09-13,19:00
3.75,2025-09-13,19:15
3.75,2025-09-13,19:30
3.33,2025-09-13,19:45
4.17,2025-09-13,20:00
3.75,2025-09-13,20:15
4.17,2025-09-13,20:30
4.17,2025-09-13,20:45
4.58,2025-09-13,21:00
4.58,2025-09-13,21:15
4.17,2025-09-13,21:30
4.17,2025-09-13,21:45
