DATE,TIME,LUX,WET_RAW_ADC,WET_VOLTAGE_V
September-15-2025,05:07 PM,4027.50,16447,2.689
September-15-2025,05:08 PM,4023.33,21541,2.689
September-15-2025,05:09 PM,3995.00,21541,2.689
September-15-2025,05:10 PM,3875.00,21553,2.687
September-15-2025,05:11 PM,3997.92,21544,2.688
September-15-2025,05:12 PM,3986.67,21545,2.689
September-15-2025,05:13 PM,3876.25,21541,2.689
September-15-2025,05:14 PM,3736.25,21546,2.687
September-15-2025,05:15 PM,3535.42,21538,2.688
September-15-2025,05:16 PM,3295.83,21541,2.687
September-15-2025,05:17 PM,2996.67,21533,2.687
September-15-2025,05:18 PM,2571.25,21538,2.685
September-15-2025,05:19 PM,2034.58,21530,2.686
September-15-2025,05:20 PM,1888.75,21536,2.685
September-15-2025,05:21 PM,1451.67,21534,2.686
September-15-2025,05:22 PM,1130.42,21525,2.686
September-15-2025,05:23 PM,908.75,21519,2.684
September-15-2025,05:24 PM,722.08,21513,2.684
September-15-2025,05:25 PM,591.25,21519,2.683
September-15-2025,05:26 PM,523.75,21509,2.684
September-15-2025,05:27 PM,485.83,11870,1.483
September-15-2025,05:28 PM,494.58,9097,1.126
September-15-2025,05:29 PM,432.08,11855,1.478
September-15-2025,05:30 PM,427.92,12326,1.538
September-15-2025,05:31 PM,406.67,12530,1.566
September-15-2025,05:32 PM,384.17,12650,1.580
September-15-2025,05:33 PM,377.92,12748,1.590
September-15-2025,05:34 PM,364.17,12819,1.601
September-15-2025,05:35 PM,346.25,12834,1.601
September-15-2025,05:36 PM,357.50,12834,1.601
September-15-2025,05:37 PM,359.17,12848,1.604
September-15-2025,05:38 PM,345.83,12829,1.601
September-15-2025,05:39 PM,343.33,12863,1.606
September-15-2025,05:40 PM,356.25,12871,1.607
September-15-2025,05:41 PM,361.25,12881,1.606
September-15-2025,05:42 PM,370.00,12871,1.607
September-15-2025,05:43 PM,373.33,12872,1.606
September-15-2025,05:44 PM,367.92,12865,1.607
September-15-2025,05:45 PM,365.00,12872,1.607
September-15-2025,05:46 PM,363.33,12878,1.606
September-15-2025,05:47 PM,359.17,12873,1.606
September-15-2025,05:48 PM,361.25,12880,1.606
September-15-2025,05:49 PM,370.83,12882,1.606
September-15-2025,05:50 PM,373.33,12868,1.608
September-15-2025,05:51 PM,378.33,12875,1.607
September-15-2025,05:52 PM,378.75,12942,1.614
September-15-2025,05:53 PM,376.67,12931,1.615
September-15-2025,05:54 PM,373.33,12924,1.615
September-15-2025,05:55 PM,364.17,12927,1.615
September-15-2025,05:56 PM,344.17,12925,1.614
September-15-2025,05:57 PM,332.50,12928,1.609
September-15-2025,05:58 PM,309.17,12915,1.614
September-15-2025,05:59 PM,282.92,12922,1.613
September-15-2025,06:00 PM,262.92,12922,1.611
September-15-2025,06:01 PM,245.42,12908,1.613
September-15-2025,06:02 PM,223.33,12911,1.610
September-15-2025,06:03 PM,207.08,12901,1.612
September-15-2025,06:04 PM,198.75,12936,1.614
September-15-2025,06:05 PM,195.00,12936,1.613
September-15-2025,06:06 PM,191.25,12931,1.614
September-15-2025,06:07 PM,190.42,12926,1.613
September-15-2025,06:08 PM,195.00,12924,1.612
September-15-2025,06:09 PM,207.50,12919,1.613
September-15-2025,06:10 PM,220.00,12925,1.612
September-15-2025,06:11 PM,225.83,12919,1.614
September-15-2025,06:12 PM,224.17,12930,1.612
September-15-2025,06:13 PM,220.00,12923,1.614
September-15-2025,06:14 PM,223.33,12934,1.612
September-15-2025,06:15 PM,223.75,12924,1.612
September-15-2025,06:16 PM,220.00,12929,1.612
September-15-2025,06:17 PM,213.75,12933,1.613
September-15-2025,06:18 PM,199.58,12931,1.613
September-15-2025,06:19 PM,186.67,12939,1.613
September-15-2025,06:20 PM,171.67,12929,1.614
September-15-2025,06:21 PM,160.00,12942,1.613
September-15-2025,06:22 PM,151.25,12928,1.615
September-15-2025,06:23 PM,138.33,12927,1.615
September-15-2025,06:24 PM,125.83,12940,1.614
September-15-2025,06:25 PM,114.17,12929,1.615
September-15-2025,06:26 PM,98.75,12938,1.614
September-15-2025,06:27 PM,88.33,12940,1.615
September-15-2025,06:28 PM,82.50,12961,1.616
September-15-2025,06:29 PM,78.75,12958,1.617
September-15-2025,06:30 PM,75.00,12951,1.619
September-15-2025,06:31 PM,71.67,12958,1.619
September-15-2025,06:32 PM,70.00,12960,1.619
September-15-2025,06:33 PM,68.33,12976,1.617
September-15-2025,06:34 PM,65.83,12981,1.619
September-15-2025,06:35 PM,63.33,12982,1.620
September-15-2025,06:36 PM,60.42,12970,1.621
September-15-2025,06:37 PM,58.75,12976,1.621
September-15-2025,06:38 PM,55.83,12975,1.621
September-15-2025,06:39 PM,53.33,12984,1.621
September-15-2025,06:40 PM,50.83,12978,1.622
September-15-2025,06:41 PM,48.33,12993,1.620
September-15-2025,06:42 PM,45.42,12995,1.620
September-15-2025,06:43 PM,42.92,12992,1.620
September-15-2025,06:44 PM,40.42,12990,1.621
September-15-2025,06:45 PM,38.75,12990,1.622
September-15-2025,06:46 PM,37.08,12985,1.623
September-15-2025,06:47 PM,34.17,12994,1.621
September-15-2025,06:48 PM,32.08,12992,1.622
September-15-2025,06:49 PM,30.00,12997,1.623
September-15-2025,06:50 PM,27.92,12995,1.624
September-15-2025,06:51 PM,25.83,13010,1.622
September-15-2025,06:52 PM,23.75,13008,1.622
September-15-2025,06:53 PM,21.67,13017,1.623
September-15-2025,06:54 PM,19.58,13018,1.623
September-15-2025,06:55 PM,17.92,13007,1.624
September-15-2025,06:56 PM,15.83,13002,1.624
September-15-2025,06:57 PM,14.17,12984,1.620
September-15-2025,06:58 PM,12.08,13023,1.623
September-15-2025,06:59 PM,10.83,13008,1.625
September-15-2025,07:00 PM,9.58,13017,1.623
September-15-2025,07:01 PM,8.33,13019,1.623
September-15-2025,07:02 PM,7.92,13016,1.625
September-15-2025,07:03 PM,7.08,13026,1.624
September-15-2025,07:04 PM,6.67,13011,1.626
September-15-2025,07:05 PM,5.42,13011,1.626
September-15-2025,07:06 PM,5.42,13014,1.626
September-15-2025,07:07 PM,4.58,13017,1.626
September-15-2025,07:08 PM,6.67,13016,1.627
